[2019-06-24T14:07:50.182+0000][1][safepoint    ] Application time: 0.0000577 seconds
[2019-06-24T14:07:50.182+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:50.182+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:50.182+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0000487 seconds, Stopping threads took: 0.0000098 seconds
[2019-06-24T14:07:50.182+0000][1][safepoint    ] Application time: 0.0000646 seconds
[2019-06-24T14:07:50.182+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:50.182+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:50.182+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0000386 seconds, Stopping threads took: 0.0000098 seconds
[2019-06-24T14:07:50.182+0000][1][safepoint    ] Application time: 0.0000501 seconds
[2019-06-24T14:07:50.182+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:50.182+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:50.182+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0000436 seconds, Stopping threads took: 0.0000100 seconds
[2019-06-24T14:07:50.182+0000][1][safepoint    ] Application time: 0.0000570 seconds
[2019-06-24T14:07:50.182+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:50.182+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:50.182+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0000411 seconds, Stopping threads took: 0.0000100 seconds
[2019-06-24T14:07:50.182+0000][1][safepoint    ] Application time: 0.0000524 seconds
[2019-06-24T14:07:50.182+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:50.182+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:50.182+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0000398 seconds, Stopping threads took: 0.0000102 seconds
